Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
112,Somalia,4.668,0.000,0.698,0.268,0.559,0.243,0.270
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.070,0.056
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
115,Burkina Faso,4.587,0.331,1.056,0.380,0.255,0.177,0.113
116,Armenia,4.559,0.850,1.055,0.815,0.283,0.095,0.064
117,Iran,4.548,1.100,0.842,0.785,0.305,0.270,0.125
118,Guinea,4.534,0.380,0.829,0.375,0.332,0.207,0.086
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
122,Mauritania,4.490,0.570,1.167,0.489,0.066,0.106,0.088
123,Mozambique,4.466,0.204,0.986,0.390,0.494,0.197,0.138
124,Tunisia,4.461,0.921,1.000,0.815,0.167,0.059,0.055
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
126,Iraq,4.437,1.043,0.980,0.574,0.241,0.148,0.089
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
128,Mali,4.390,0.385,1.105,0.308,0.327,0.153,0.052
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
130,Sri Lanka,4.366,0.949,1.265,0.831,0.470,0.244,0.047
131,Myanmar,4.360,0.710,1.181,0.555,0.525,0.566,0.172
132,Chad,4.350,0.350,0.766,0.192,0.174,0.198,0.078
133,Ukraine,4.332,0.820,1.390,0.739,0.178,0.187,0.010
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.100
135,Swaziland,4.212,0.811,1.149,0.000,0.313,0.074,0.135
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.060
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
139,Togo,4.085,0.275,0.572,0.410,0.293,0.177,0.085
140,India,4.015,0.755,0.765,0.588,0.498,0.200,0.085
141,Liberia,3.975,0.073,0.922,0.443,0.370,0.233,0.033
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
145,Burundi,3.775,0.046,0.447,0.380,0.220,0.176,0.180
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.110
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.100
149,Syria,3.462,0.619,0.378,0.440,0.013,0.331,0.141
150,Malawi,3.410,0.191,0.560,0.495,0.443,0.218,0.089
151,Yemen,3.380,0.287,1.163,0.463,0.143,0.108,0.077
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
154,Afghanistan,3.203,0.350,0.517,0.361,0.000,0.158,0.025
155,Central African Republic,3.083,0.026,0.000,0.105,0.225,0.235,0.035
156,South Sudan,2.853,0.306,0.575,0.295,0.010,0.202,0.091
